epoch,accuracy,loss,lr,mae,mse,val_accuracy,val_loss,val_mae,val_mse
22,0.9410115480422974,0.053979627788066864,4.9325895e-06,0.0435454286634922,0.053979627788066864,0.9390442371368408,0.05769059434533119,0.04396212100982666,0.05769059434533119
23,0.9410308599472046,0.05395016074180603,4.9325895e-06,0.043537743389606476,0.05395016074180603,0.9390185475349426,0.0576879158616066,0.043964967131614685,0.0576879158616066
24,0.941026508808136,0.05392364412546158,4.9325895e-06,0.0435335710644722,0.05392364412546158,0.9390533566474915,0.057665448635816574,0.04395804554224014,0.057665448635816574
25,0.9410440921783447,0.05390049144625664,4.9325895e-06,0.04352844879031181,0.05390049144625664,0.9390459060668945,0.057661741971969604,0.04394717514514923,0.057661741971969604
26,0.9410477876663208,0.05387759581208229,4.9325895e-06,0.04352472350001335,0.05387759581208229,0.9390636682510376,0.05761658400297165,0.043948426842689514,0.05761658027768135
27,0.9410854578018188,0.05385545268654823,4.9325895e-06,0.043520644307136536,0.05385545268654823,0.9390453100204468,0.05763294920325279,0.04393826425075531,0.05763294920325279
28,0.9408031702041626,0.05385921150445938,9.865179e-07,0.04353977367281914,0.05385921150445938,0.9392179846763611,0.057425592094659805,0.043902311474084854,0.057425592094659805
29,0.9408241510391235,0.053835395723581314,9.865179e-07,0.0435236357152462,0.053835395723581314,0.9392427206039429,0.057411253452301025,0.04390093684196472,0.057411253452301025
30,0.940850019454956,0.053828854113817215,9.865179e-07,0.04352112114429474,0.053828854113817215,0.9392476677894592,0.05740436166524887,0.04390302300453186,0.05740436166524887
31,0.9408592581748962,0.053823720663785934,9.865179e-07,0.043519001454114914,0.053823720663785934,0.9392631649971008,0.05739382654428482,0.04389610141515732,0.05739382654428482
32,0.9408397078514099,0.053821347653865814,9.865179e-07,0.043517954647541046,0.053821347653865814,0.9392719864845276,0.05739050731062889,0.043896645307540894,0.05739050731062889
33,0.9408372044563293,0.05381264537572861,9.865179e-07,0.04351626709103584,0.05381264537572861,0.9392810463905334,0.05738278850913048,0.043891772627830505,0.05738278850913048
34,0.9408503174781799,0.053806550800800323,9.865179e-07,0.0435146689414978,0.053806550800800323,0.9392783045768738,0.057382628321647644,0.0438951700925827,0.057382628321647644
35,0.9405046701431274,0.05387531965970993,1.9730358e-07,0.043586112558841705,0.05387531965970993,0.9392238259315491,0.05731605738401413,0.04379095509648323,0.05731606110930443
36,0.9405049681663513,0.05386311560869217,1.9730358e-07,0.04356832802295685,0.05386311560869217,0.9392683506011963,0.057309091091156006,0.04378863051533699,0.057309091091156006
37,0.9405125975608826,0.053862594068050385,1.9730358e-07,0.04356524720788002,0.053862594068050385,0.9392987489700317,0.0573042668402195,0.04378589987754822,0.0573042668402195
